No_,name,piece_per_cost,number,cost,sell_price_lower,sell_price_avg,profit,description,remark,localtion,type,Brand
335,P.RCA - J.RCAx2,1.0,null,5.5,null,null,null,null,null,null,null,null
336,J.RCA - P.RCAx2,1.0,null,10.0,null,null,null,null,null,null,null,null
337,PULAY 8 inch HITACHI,1.0,null,50.0,null,null,null,null,null,null,null,null
338,กระบอกฟิวส์ KF14,1.0,15.0,50.0,null,null,null,null,null,"H, R1",null,null
339,หัวแร้งปืน HM044,1.0,null,90.0,null,null,null,null,null,null,null,null
340,หัวแร้งปืน HS400,1.0,null,75.0,null,null,null,null,null,null,null,null
341,แกนดึง SAMSUNG,1.0,10.0,35.0,null,null,null,null,null,"R1, A2",null,null
342,ยางปล่อยน้ำทิ้ง LG กลาง,1.0,null,25.0,null,null,null,null,null,null,null,null
343,Bellow 16mm ทั่วไป,1.0,30.0,35.0,null,null,null,null,null,"F, H",null,null
344,ยางปล่อยน้ำทิ้ง LG เล็ก,1.0,null,25.0,null,null,null,null,null,null,null,null
345,ปลายหัวแร้ง Angleblue No.750,1.0,null,40.0,null,null,null,null,null,null,null,null
346,P.CANNON ติดแท่นขันน๊อต,1.0,null,13.0,null,null,null,null,null,null,null,null
347,J.CANNON ติดแท่นขันน๊อต,1.0,null,15.0,null,null,null,null,null,null,null,null
348,J.CANNON ติดแท่นขันน๊อต สี่เหลี่ยม,1.0,null,18.0,null,null,null,null,null,null,null,null
349,volume น้ำอุ่น 350K แกนเฟือง,1.0,null,30.0,null,null,null,null,null,null,null,null
350,TRIAC 50/600 V น้ำอุ่น,1.0,null,90.0,null,null,null,null,null,null,null,null
351,IRFP460,1.0,null,35.0,null,null,null,null,null,null,null,null
352,A1943,1.0,20.0,30.0,null,null,null,null,ขายเป็นคู่,B1,null,null
353,C5200,1.0,20.0,30.0,null,null,null,null,ขายเป็นคู่,B1,null,null
354,FGH 80N60,1.0,10.0,65.0,null,null,null,null,null,B1,null,null
355,สาย RCA 2C + TR ST 1C,1.0,6.0,60.0,null,null,null,null,null,R1,null,null
356,ขดลวดกะติก,1.0,24.0,65.0,null,null,null,null,null,H,null,null
357,ปากคีบแบต เล็ก,1.0,20.0,7.0,null,null,null,null,ขายเป็นคู่,H,null,null
358,ปากคีบแบต กลาง,1.0,75.0,9.5,null,null,null,null,ขายเป็นคู่,H,null,null
359,ปากคีบแบต ใหญ่ พร้อมสาย,1.0,12.0,20.0,null,null,null,null,ขายทีละแพ็ค แพ็คละคู่,H,null,null
360,เทปพันสายไป (3M) 19mm x 10m x 0.18mm,1.0,3.0,22.0,null,null,null,null,null,R1,null,null
361,เทปพันสายไป (3M) 19mm x 10m x 0.13mm,1.0,24.0,12.0,null,null,null,null,null,R1,null,null
362,โซลินอยซักผ้า 50 Hz,1.0,13.0,72.0,null,null,null,null,null,C,null,null
363,แปลงสัญญาณ high->low รถ,1.0,13.0,72.0,null,null,null,null,null,C,null,null
364,สายไฟเตารีด หัวโต,1.0,4.0,65.0,null,null,null,null,null,H,null,null
365,สายไฟเตารีด หัวเล็ก (2m),1.0,33.0,45.0,null,null,null,null,null,H,null,null
366,สายไมค์ MONO 2C (5m Dynacom),1.0,4.0,110.0,null,null,null,null,null,G,null,null
367,บอร์ดเครื่องซักผ้า SXY2200,1.0,13.0,330.0,null,null,null,null,null,H,null,null
368,ไมค์ครอบหัว,1.0,50.0,null,null,null,null,null,null,C,null,null
369,สายหม้อหุงข้าวรุ่นเก่า,1.0,2.0,45.0,null,null,null,null,null,C,null,null
370,ปลั๊กเทปรุ่นเก่า ไม่มีร่อง,1.0,6.0,50.0,null,null,null,null,null,C,null,null
371,board แปลง bluetooth,1.0,13.0,125.0,null,null,null,null,null,I,null,null
372,ที่ดูดตะกั่ว,1.0,8.0,55.0,null,null,null,null,null,"F, M",null,null
373,Heatsink (8x8 cm2),1.0,22.0,58.0,null,null,null,null,null,"F, M",null,null
374,กล่องเหล็ก,1.0,22.0,85.0,null,null,null,null,null,"F, M",null,null
375,กาว epoxy ชุดเล็ก,1.0,2.0,810.0,null,null,null,A-B #F-05 สีใส 20g,null,R2,null,null
376,เน็ตเวิร์ค 2 ทาง SPECTRUM #ST-102N,1.0,10.0,150.0,null,null,null,null,null,R2,null,null
377,มือจับตู้ลำโพงแบบสอด (อย่างดี),1.0,100.0,5.5,null,null,null,null,null,R1,null,null
378,มุมตู้ลำโพง แบบ L (อย่างดี),1.0,100.0,4.5,null,null,null,null,null,D,null,null
379,ปลั๊๊ก RCA เหล็กสีทอง ท้ายสปริง คาดดำ,1.0,30.0,8.5,null,null,null,null,null,R2,null,null
380,ปลั๊๊ก RCA เหล็กสีทอง ท้ายสปริง คาดแดง,1.0,30.0,8.5,null,null,null,null,null,R2,null,null
381,สาย TR ST. - 2 MIC 3m Sob,1.0,10.0,75.0,null,null,null,null,null,"R1, G",null,null
382,สายน้ำเข้า เครื่องซักผ้า 2 m,1.0,10.0,70.0,null,null,null,null,null,D,null,null
383,สาย RCA 2C + MIC ST 1 C (J-015) 1.5 m,1.0,5.0,54.0,null,null,null,null,null,"R1, G",null,null
384,ปลั๊ก XLR ตัวผู้ 3P ท้ายแจ็คไมค์ 6.35 mm,1.0,2.0,42.0,null,null,null,null,null,R1,null,null
385,เพลทเหล็ก 2 speakon 8x9.5cm ดำ+ดำ,1.0,2.0,54.0,null,null,null,null,null,B4,null,null
386,เพลทเหล็ก 2 speakon 8x9.5cm แดง+เหลือง,1.0,4.0,54.0,null,null,null,null,null,B4,null,null
